 "concept" , "prefLabel" , "altLabel" , "related" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "plaquette" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "plaquette" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "bandeja" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "bandeja" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "lastra" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "lastra" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "slab" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "slab" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/309" , "Platte" , "Dish" , "https://www.eagle-network.eu/voc/objtyp/lod/259" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/309" , "Platte" , "Plato" , "https://www.eagle-network.eu/voc/objtyp/lod/259" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/309" , "Platte" , "tál" , "https://www.eagle-network.eu/voc/objtyp/lod/259" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/309" , "Platte" , "vas, patina" , "https://www.eagle-network.eu/voc/objtyp/lod/259" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/257" , "Tafel" , "lastra" , "https://www.eagle-network.eu/voc/objtyp/lod/259" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/257" , "Tafel" , "lastra" , "https://www.eagle-network.eu/voc/objtyp/lod/260" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/257" , "Tafel" , "slab" , "https://www.eagle-network.eu/voc/objtyp/lod/259" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/257" , "Tafel" , "slab" , "https://www.eagle-network.eu/voc/objtyp/lod/260" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/257" , "Tafel" , "sheet" , "https://www.eagle-network.eu/voc/objtyp/lod/259" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/257" , "Tafel" , "sheet" , "https://www.eagle-network.eu/voc/objtyp/lod/260" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/257" , "Tafel" , "tablette" , "https://www.eagle-network.eu/voc/objtyp/lod/259" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/257" , "Tafel" , "tablette" , "https://www.eagle-network.eu/voc/objtyp/lod/260" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/257" , "Tafel" , "tabula" , "https://www.eagle-network.eu/voc/objtyp/lod/259" ,
